"";"Var1";"Var2";"Var3";"Freq"
"1597";"Con heridos";"Otro";"Alejandro Echavarría";148
"1603";"Con heridos";"Atropello";"Alfonso López";148
"2011";"Con heridos";"Otro";"Aures No. 2";148
"4525";"Con heridos";"Choque";"La Mota";148
"5029";"Con heridos";"Choque";"Loreto";148
"5251";"Con heridos";"Otro";"Manila";148
"5989";"Con heridos";"Otro";"Picacho";148
"6268";"Con heridos";"Caida de Ocupante";"San Isidro";148
"6769";"Con heridos";"Atropello";"Sevilla";148
"7317";"Solo daños";"Choque";"U.D. Atanasio Girardot";148
"7357";"Con heridos";"Otro";"Universidad de Antioquia";148
"1647";"Solo daños";"Choque";"Altavista";147
"1683";"Solo daños";"Choque";"Altos del Poblado";147
"2824";"Con heridos";"Volcamiento";"Castilla";147
"3787";"Con heridos";"Choque";"Francisco Antonio Zea";147
"6093";"Solo daños";"Choque";"Popular";147
"6705";"Solo daños";"Choque";"Santander";147
"6781";"Con heridos";"Otro";"Sevilla";147
"7399";"Con heridos";"Atropello";"Versalles No. 1";147
"3195";"Solo daños";"Choque";"El Danubio";146
"3205";"Con heridos";"Atropello";"El Diamante";146
"4401";"Solo daños";"Choque";"La Libertad";146
"5023";"Con heridos";"Atropello";"Loreto";146
"7168";"Con heridos";"Caida de Ocupante";"Tejelo";145
"7483";"Con heridos";"Otro";"Villa Carlota";145
"4923";"Solo daños";"Choque";"Las Violetas";144
"6703";"Con heridos";"Choque";"Santander";144
"7510";"Con heridos";"Caida de Ocupante";"Villa Flora";144
"3517";"Con heridos";"Choque";"El Salvador";143
"3879";"Solo daños";"Choque";"Granizal";143
"5035";"Con heridos";"Otro";"Loreto";143
"2853";"Solo daños";"Choque";"Cataluña";142
"3193";"Con heridos";"Choque";"El Danubio";142
"3823";"Con heridos";"Choque";"Gerona";141
"3889";"Con heridos";"Atropello";"Guayabal";141
"4090";"Con heridos";"Caida de Ocupante";"La Alpujarra";141
"4216";"Con heridos";"Caida de Ocupante";"La Esperanza";141
"6772";"Con heridos";"Caida de Ocupante";"Sevilla";141
"2299";"Con heridos";"Otro";"Berlin";140
"4729";"Con heridos";"Otro";"Las Acacias";140
"4885";"Con heridos";"Choque";"Las Palmas";140
"4105";"Con heridos";"Atropello";"La América";138
"6085";"Con heridos";"Atropello";"Popular";138
"6430";"Con heridos";"Caida de Ocupante";"San Martín de Porres";138
"6559";"Con heridos";"Choque";"Santa Inés";138
"2647";"Con heridos";"Atropello";"Calle Nueva";137
"2551";"Con heridos";"Otro";"Buenos Aires";136
"2590";"Con heridos";"Volcamiento";"Cabecera San Antonio de Prado";136
"5047";"Con heridos";"Choque";"Los Alcázares";136
"3753";"Solo daños";"Choque";"Florencia";135
"4117";"Con heridos";"Otro";"La América";135
"5787";"Solo daños";"Choque";"Palenque";135
"6057";"Solo daños";"Choque";"Playón de Los Comuneros";135
"2920";"Con heridos";"Caida de Ocupante";"Corazón de Jesús";134
"5089";"Con heridos";"Otro";"Los Ángeles";134
"6169";"Con heridos";"Otro";"Rosales";134
"5341";"Con heridos";"Otro";"Manrique Oriental";133
"2722";"Con heridos";"Caida de Ocupante";"Campo Valdés No. 2";132
"4945";"Con heridos";"Otro";"Laureles";132
"5065";"Con heridos";"Choque";"Los Alpes";132
"6433";"Con heridos";"Choque";"San Martín de Porres";132
"7165";"Con heridos";"Atropello";"Tejelo";132
"2871";"Solo daños";"Choque";"Cementerio Universal";131
"2941";"Con heridos";"Choque";"Córdoba";131
"3253";"Con heridos";"Otro";"El Estadio";131
"5803";"Con heridos";"Choque";"Palermo";131
"7285";"Con heridos";"Otro";"Tricentenario";131
"16";"Con heridos";"Volcamiento";"0";130
"6700";"Con heridos";"Caida de Ocupante";"Santander";130
"2599";"Con heridos";"Choque";"Cabecera Urbana San Cristobal";129
"3283";"Con heridos";"Choque";"El Nogal-Los Almendros";129
"6223";"Con heridos";"Otro";"San Bernardo";129
"7366";"Con heridos";"Caida de Ocupante";"Universidad Nacional";129
"2169";"Solo daños";"Choque";"Barrio de Jesús";128
"5517";"Solo daños";"Choque";"Moscú No. 1";128
"2839";"Con heridos";"Otro";"Castropol";127
"3043";"Con heridos";"Atropello";"Doce de Octubre No.2";127
"3445";"Con heridos";"Choque";"El Raizal";127
"4831";"Con heridos";"Choque";"Las Lomas No.1";127
